ch1_feature,ch2_feature,ch3_feature,ch4_feature,ch5_feature,ch6_feature,DC_feature
"[854, 1554, 24416, 24434]","[2959, 3659, 24266, 24430]","[5066, 5766, 24438, 24586]","[7171, 7871, 24264, 24567]","[9280, 9980, 24259, 24404]","[11387, 12087, 24436, 24578]",[24430.0]
"[751, 1451, 24410, 24432]","[2856, 3556, 24261, 24408]","[4956, 5656, 24436, 24572]","[7060, 7760, 24268, 24549]","[9177, 9877, 24245, 24388]","[11294, 11994, 24413, 24553]",[24405.0]
"[778, 1478, 24345, 24369]","[2892, 3592, 24175, 24325]","[5010, 5710, 24335, 24469]","[7123, 7823, 24145, 24426]","[9241, 9941, 24112, 24253]","[11359, 12059, 24255, 24399]",[24230.0]
"[843, 1543, 24048, 24082]","[2957, 3657, 23854, 24008]","[5074, 5774, 23988, 24131]","[7188, 7888, 23770, 24060]","[9306, 10006, 23692, 23836]","[11423, 12123, 23804, 23958]",[23812.0]
"[935, 1635, 23618, 23644]","[3039, 3739, 23449, 23604]","[5147, 5847, 23645, 23788]","[7251, 7951, 23510, 23804]","[9369, 10069, 23515, 23661]","[11486, 12186, 23650, 23801]",[23603.0]
"[970, 1670, 23107, 23178]","[3084, 3784, 22861, 23038]","[5201, 5901, 23030, 23192]","[7315, 8015, 22730, 23072]","[9433, 10133, 22617, 22783]","[11550, 12250, 22925, 23106]",[23056.0]
"[1033, 1733, 23519, 23587]","[3147, 3847, 23423, 23648]","[5265, 5965, 23760, 23964]","[7378, 8078, 23560, 23998]","[9496, 10196, 23374, 23681]","[11614, 12314, 23363, 23628]",[23481.0]
"[3212, 3912, 23732, 23988]","[5329, 6029, 24189, 24422]","[7443, 8143, 24278, 24698]","[9561, 10261, 24430, 24621]","[11679, 12379, 24659, 24821]","[0, 0, 0, 0]",[24315.0]
"[1163, 1863, 23496, 23562]","[3277, 3977, 23283, 23480]","[5394, 6094, 23615, 23829]","[7508, 8208, 23555, 23966]","[9626, 10326, 23691, 23926]","[11743, 12443, 24071, 24264]",[23727.0]
"[1237, 1937, 24002, 24027]","[3342, 4042, 23828, 24019]","[5460, 6160, 24029, 24202]","[7573, 8273, 23807, 24158]","[9692, 10392, 23851, 24055]","[11810, 12510, 24186, 24353]",[24030.0]
"[1322, 2022, 24255, 24277]","[3427, 4127, 24018, 24207]","[5535, 6235, 24238, 24415]","[7640, 8340, 24000, 24367]","[9758, 10458, 23955, 24162]","[11876, 12576, 24179, 24343]",[24138.0]
